,track_name,start_point,l,r,d1,d2,d3,d4,d5
1741,Skelpolu - Resurrection,2998800,0.01010915543884039,0.010444601997733116,0.0015872525982558727,0.0041670771315693855,0.0012516771676018834,0.0023031653836369514,0.001670779543928802
1742,Skelpolu - Resurrection,3175200,0.005119661800563335,0.005058943759649992,0.0007146628340706229,0.0018054662505164742,0.0005721705383621156,0.0010245437733829021,0.0007545375847257674
1743,Skelpolu - Resurrection,3351600,0.008745190687477589,0.008437561802566051,0.0012633337173610926,0.0032181227579712868,0.0009946564678102732,0.0018982184119522572,0.0013163051335141063
1744,Skelpolu - Resurrection,3528000,0.02722291089594364,0.027243219316005707,0.0037128173280507326,0.00980481505393982,0.0029163749422878027,0.005899230949580669,0.00396324647590518
1745,Skelpolu - Resurrection,3704400,0.05687664821743965,0.05319932475686073,0.009189469739794731,0.021663280203938484,0.0074975499883294106,0.013280408456921577,0.008421791717410088
1746,Skelpolu - Resurrection,3880800,0.048545561730861664,0.05620160326361656,0.006818150635808706,0.015385999344289303,0.005662539973855019,0.009986473247408867,0.006900105159729719
1747,Skelpolu - Resurrection,4057200,0.025186767801642418,0.02545056864619255,0.0035935768391937017,0.009915122762322426,0.002860022708773613,0.005172166973352432,0.003708590753376484
1748,Skelpolu - Resurrection,4233600,0.014963677152991295,0.015523817390203476,0.0023244356270879507,0.005981255788356066,0.0017704471247270703,0.0034458041191101074,0.0023400289937853813
1749,Skelpolu - Resurrection,4410000,0.010096931830048561,0.00976346991956234,0.0014642210444435477,0.0034638489596545696,0.001095360261388123,0.0020384558010846376,0.0015300482045859098
1750,Skelpolu - Resurrection,4586400,0.010074771009385586,0.009984786622226238,0.0013988639693707228,0.003499775193631649,0.0011059452081099153,0.0020633945241570473,0.0015089195221662521
1751,Skelpolu - Resurrection,4762800,0.01393196638673544,0.013799716718494892,0.002026239177212119,0.005040217190980911,0.0014664556365460157,0.0028244720306247473,0.0020205150358378887
1752,Skelpolu - Resurrection,4939200,0.008201687596738338,0.00824317242950201,0.0012035465333610773,0.003340426366776228,0.0009404132724739611,0.0017773841973394156,0.0012830514460802078
1753,Skelpolu - Resurrection,5115600,0.00972374714910984,0.009644925594329834,0.0013501947978511453,0.003301899880170822,0.001030003186315298,0.001917147310450673,0.0013883562060073018
1754,Skelpolu - Resurrection,5292000,0.010816032066941261,0.010727751068770885,0.001612396677955985,0.0040673078037798405,0.0012744852574542165,0.002229142002761364,0.0016731203068047762
1755,Skelpolu - Resurrection,5468400,0.0075714983977377415,0.007784873712807894,0.0011137484107166529,0.0027881006244570017,0.0008402721141465008,0.0015234957681968808,0.0010807897197082639
1756,Skelpolu - Resurrection,5644800,0.007875869981944561,0.00762305548414588,0.0010702699655666947,0.002922983607277274,0.0008041681139729917,0.0015582776395604014,0.001080957124941051
1757,Skelpolu - Resurrection,5821200,0.005490114446729422,0.0058572301641106606,0.0007610025932081044,0.0019494846928864717,0.0005789711140096188,0.0011420042719691992,0.0008112743962556124
1758,Skelpolu - Resurrection,5997600,0.004607627633959055,0.0044466168619692326,0.0006369009497575462,0.0017415776383131742,0.0004921316867694259,0.000900396378710866,0.000628450361546129
1759,Skelpolu - Resurrection,6174000,0.008988882414996624,0.008765025064349174,0.0013251499040052295,0.0035041957162320614,0.0010194977512583137,0.001988351345062256,0.001409132033586502
1760,Skelpolu - Resurrection,6350400,0.026889974251389503,0.026866883039474487,0.003796034026890993,0.009482943452894688,0.002998276613652706,0.005550889763981104,0.003984305076301098
1761,Skelpolu - Resurrection,6526800,0.00535963661968708,0.005807747598737478,0.0007817118894308805,0.001963045448064804,0.0006075629498809576,0.0011945745209231973,0.0008564166491851211
1762,Skelpolu - Resurrection,6703200,0.024239573627710342,0.022799475118517876,0.0035888408310711384,0.008535115048289299,0.0026544660795480013,0.004897766746580601,0.003762641455978155
