,track_name,slice,drum,recall,precision,f1,jaccard,accuracy
29,MusicDelta_80sRock,4,all,0.9299875283446712,0.8922097622353308,0.9107070412579925,0.8788266158018007,0.9299875283446712
30,MusicDelta_80sRock,5,0,0.7999659863945578,0.6768663887672635,0.7332857776607118,0.6599447290480818,0.7999659863945578
31,MusicDelta_80sRock,5,1,0.8749829931972789,0.8076613468865655,0.8399754195866956,0.7874698132144013,0.8749829931972789
32,MusicDelta_80sRock,5,2,0.9,1.0,0.9473684210526316,0.9,0.9
33,MusicDelta_80sRock,5,3,0.95,1.0,0.9743589743589742,0.95,0.95
34,MusicDelta_80sRock,5,4,0.975,1.0,0.9873417721518987,0.975,0.975
35,MusicDelta_80sRock,5,all,0.8999897959183674,0.8905562026947761,0.8952481485959011,0.8504811735735112,0.8999897959183674
36,MusicDelta_80sRock,6,0,0.7295068027210885,0.6648395539138642,0.6923717033187415,0.5906914290181733,0.7295068027210885
37,MusicDelta_80sRock,6,1,0.8647562358276644,0.8270053045027536,0.8440387546722856,0.7825398729857765,0.8647562358276644
38,MusicDelta_80sRock,6,2,0.925,1.0,0.9610389610389611,0.925,0.925
39,MusicDelta_80sRock,6,3,0.95,1.0,0.9743589743589742,0.95,0.95
40,MusicDelta_80sRock,6,4,0.8897675736961451,0.9577542145290971,0.9206288138551677,0.8682889349760151,0.8897675736961451
41,MusicDelta_80sRock,6,all,0.8718061224489796,0.8803685708110814,0.8760341782219895,0.817280149111646,0.8718061224489796
42,MusicDelta_80sRock,7,0,0.8204365079365079,0.7918330148574924,0.7998489413632216,0.706167776074787,0.8204365079365079
43,MusicDelta_80sRock,7,1,0.8499886621315192,0.849978243688642,0.8499834528781554,0.786229875411994,0.8499886621315192
44,MusicDelta_80sRock,7,2,0.95,1.0,0.9743589743589742,0.95,0.95
45,MusicDelta_80sRock,7,3,1.0,1.0,1.0,1.0,1.0
46,MusicDelta_80sRock,7,4,0.9250056689342404,0.981247165854248,0.9460014697089231,0.9062528347884884,0.9250056689342404
47,MusicDelta_80sRock,7,all,0.9090861678004535,0.9164086820023137,0.9126289482419273,0.8653979967235845,0.9090861678004535
48,MusicDelta_80sRock,8,0,0.8499886621315192,0.8052380982149793,0.8270073389356408,0.7649735361679566,0.8499886621315192
49,MusicDelta_80sRock,8,1,0.8499659863945578,0.8131149314004156,0.8166202129059946,0.7406016022363895,0.8499659863945578
50,MusicDelta_80sRock,8,2,0.95,1.0,0.9743589743589742,0.95,0.95
51,MusicDelta_80sRock,8,3,0.95,1.0,0.9743589743589742,0.95,0.95
52,MusicDelta_80sRock,8,4,0.925,1.0,0.9610389610389611,0.925,0.925
53,MusicDelta_80sRock,8,all,0.9049909297052154,0.9092883650526763,0.9071226189102612,0.8617783424362476,0.9049909297052154
54,MusicDelta_Beatles,0,0,0.6999886621315192,0.7759523820213045,0.7337456141601596,0.6153605983405406,0.6999886621315192
